15 5973 19852
0 278 0.341103 0.188028
1 278 0.345992 0.134232
0 279 0.0562633 0.190473
1 279 0.0679992 0.136188
0 123 -0.0537604 0.191696
0 280 0.382667 0.192918
1 280 0.387557 0.140345
0 281 -0.0586503 0.194141
1 281 -0.0415355 0.150126
0 282 -0.0513154 0.196586
1 282 -0.0342006 0.152571
0 283 0.385112 0.196586
1 283 0.388779 0.144013
0 284 -0.0549829 0.199031
1 284 -0.0390905 0.155017
0 285 -0.050093 0.200254
1 285 -0.0329781 0.157462
0 286 -0.0513154 0.203922
1 286 -0.0342006 0.16113
0 287 0.242081 0.203922
1 287 0.254306 0.164064
0 288 0.0770456 0.206367
1 288 0.0868255 0.153794
0 133 0.0501509 0.20759
0 289 0.107608 0.20759
1 289 0.110053 0.130564
0 290 0.199294 0.20759
1 290 0.209074 0.16113
0 291 0.238414 0.20759
1 291 0.249905 0.168466
0 292 0.232301 0.210035
1 292 0.243744 0.171106
0 138 0.36433 0.210035
0 293 0.207852 0.211258
1 293 0.217631 0.166998
0 294 0.211519 0.211258
1 294 0.222032 0.165531
0 295 0.0269237 0.21248
1 295 0.0391485 0.16113
0 138 0.366775 0.213703
0 296 0.231079 0.217371
1 296 0.24257 0.177268
0 297 0.0525959 0.225929
1 297 0.0635983 0.175801
0 298 -0.0439805 0.23082
1 298 -0.0268657 0.188028
0 299 0.0599308 0.232043
1 299 0.0709332 0.180692
0 300 0.0550408 0.247937
1 300 0.0660432 0.197809
0 301 -0.00975089 0.250382
1 301 0.0049189 0.205145
0 302 0.193182 0.255273
1 302 0.202962 0.21248
0 303 -0.0329781 0.261386
1 303 -0.0170858 0.218594
0 304 0.0635983 0.261386
1 304 0.0746006 0.21248
0 305 -0.0280882 0.263831
1 305 -0.0126849 0.22275
0 157 0.0599308 0.265054
0 306 -0.0280882 0.268722
1 306 -0.0126849 0.227152
0 307 0.36922 0.268722
1 307 0.373132 0.218349
0 308 0.377777 0.271167
1 308 0.382667 0.219816
0 309 0.405894 0.273612
1 309 0.409562 0.221039
0 310 0.190737 0.279725
1 310 0.201495 0.240356
0 311 0.178512 0.284616
1 311 0.189759 0.241824
0 312 0.178512 0.288284
1 312 0.188292 0.247692
0 164 0.0635983 0.293174
0 313 0.183402 0.302955
1 313 0.19416 0.265298
0 314 0.0085864 0.307846
1 314 0.0220338 0.265054
0 315 0.0146988 0.311514
1 315 0.0269237 0.266765
0 165 0.0660432 0.316404
0 316 0.0672657 0.320072
1 316 0.078268 0.276057
0 317 -0.240067 -0.298092
1 317 -0.209016 -0.341373
0 318 -0.240067 -0.280486
1 318 -0.209016 -0.325886
0 319 -0.226864 -0.277551
1 319 -0.196058 -0.324501
0 320 -0.220996 -0.277551
1 320 -0.19019 -0.323033
0 321 -0.240067 -0.276084
1 321 -0.209261 -0.323033
0 322 -0.212195 -0.270216
1 322 -0.182855 -0.315698
0 323 -0.0508264 -0.268748
1 323 -0.0229538 -0.298092
0 324 -0.213662 -0.251143
1 324 -0.184566 -0.297358
0 325 -0.0170858 -0.251143
1 325 0.0073639 -0.283909
0 326 -0.219529 -0.249675
1 326 -0.190679 -0.297358
0 327 -0.191657 -0.246741
1 327 -0.162317 -0.292223
0 182 -0.17552 -0.246741
0 328 -0.169652 -0.235004
